recordID,category,focus,caption
7059,Dessin,content,"Un texte entouré d'enfants anges avec des femmes nues, religion, sculpture, harpe"
1352,Tableau,emotion,Peur
4144,Tableau,emotion,"Tristesse, Peur"
4070,Tableau,content,"Couloir d'une maison avec un escalier, porte ouverte en fond, parquet, intérieur"
3928,Tableau,emotion,Joie
1808,Tableau,content,"Un pot avec des fleurs sur une table, un vase à côté, des fleurs sur la table, fleurs blanches et roses"
355,Tableau,emotion,"Tristesse, Peur, Colère, Surprise"
10788,Tableau,emotion,Peur
4959,Tableau,luminosity,Neutre
7874,Dessin,colors,Noir et blanc<br>(bicolor)
10779,Dessin,luminosity,Lumineux
8269,Tableau,emotion,"Peur, Surprise"
4596,Tableau,emotion,"Neutre, Joie"
7379,Dessin,luminosity,Lumineux
4518,Tableau,colors,Couleurs sombres
10450,Tableau,colors,Couleurs vives
5909,Tableau,luminosity,Neutre
10791,Dessin,content,"Croquis d'une femme debout avec une longue jupe blanche, on ne voit pas son visage, elle travaille, nettoyage"
8256,Tableau,content,"Un groupe de personnes chaudement habillés marchent avec dans la neige, des charettes tirées par des chevaux, habits noirs, convoi"
4313,Tableau,colors,Couleurs vives
6693,Dessin,content,"Une personne devant une maison avec un sceptre, capuche, sorcier"
7127,Dessin,colors,Noir et blanc<br>(bicolor)
1394,Dessin,luminosity,Neutre
2324,Tableau,emotion,"Neutre, Tristesse"
5179,Tableau,colors,Couleurs vives
1942,Tableau,colors,Teinte rouge
7743,Dessin,content,"Portrait d'une femme avec une hotte sur la tête, chapeau, colier"
7127,Dessin,content,"Un chateau avec une haute tour au bord de l'eau, un pont, des barques sur l'eau, quelques nuages dans le ciel"
1820,Tableau,colors,"Couleurs vives, Teinte verte"
6287,Tableau,luminosity,Sombre
4114,Tableau,emotion,"Tristesse, Peur"
6446,Dessin,emotion,"Tristesse, Peur, Colère"
4659,Tableau,colors,Neutre
7614,Dessin,emotion,"Neutre, Joie, Peur, Surprise"
10340,Dessin,colors,Teinte rouge
858,Tableau,emotion,Peur
5376,Dessin,emotion,Surprise
160,Tableau,content,"Un homme marche sur un chemin avec de la neige autour, il y a un arbre et quelques buissons, le ciel est orangé"
6394,Dessin,colors,"Noir et blanc<br>(bicolor), Teinte rouge"
858,Tableau,colors,Neutre
8922,Tableau,emotion,"Neutre, Tristesse, Colère"
4086,Tableau,emotion,Neutre
7405,Dessin,colors,"Noir et blanc<br>(bicolor), Teinte rouge"
1688,Tableau,emotion,"Tristesse, Peur, Dégoût"
1148,Tableau,colors,Noir et blanc<br>(bicolor)
4036,Tableau,colors,Noir et blanc<br>(bicolor)
1808,Tableau,emotion,"Neutre, Joie, Tristesse"
1401,Tableau,colors,Neutre
