recordID,category,focus,caption,length_tokenization
7059,Dessin,content,"Un texte entouré d'enfants anges avec des femmes nues, religion, sculpture, harpe",25
1352,Tableau,emotion,"Une maison dans une forêt aux arbres sombres, un ponton, un canard, un toit de chaume, un ciel blanc et du brouillard, Peur",39
4144,Tableau,emotion,"Un chemin de terre entre des collines sombres, la campagne, des plaines, des arbustes, un ciel gris, Tristesse",33
4144,Tableau,emotion,"Un chemin de terre entre des collines sombres, la campagne, des plaines, des arbustes, un ciel gris, Peur",32
4070,Tableau,content,"Couloir d'une maison avec un escalier, porte ouverte en fond, parquet, intérieur",26
3928,Tableau,emotion,"Portrait d'une femme assise avec des cheveux noirs bouclés qui nettoie un palteau avec un chiffon, habit blanc et gris, Joie",35
1808,Tableau,content,"Un pot avec des fleurs sur une table, un vase à côté, des fleurs sur la table, fleurs blanches et roses",30
355,Tableau,emotion,"Un homme musclé et nu tombe et souffre, une femme avec un drap rouge, un arbre, des hommes qui parlent en arrière-plan, un ciel orange, Tristesse",46
355,Tableau,emotion,"Un homme musclé et nu tombe et souffre, une femme avec un drap rouge, un arbre, des hommes qui parlent en arrière-plan, un ciel orange, Peur",45
355,Tableau,emotion,"Un homme musclé et nu tombe et souffre, une femme avec un drap rouge, un arbre, des hommes qui parlent en arrière-plan, un ciel orange, Colère",45
355,Tableau,emotion,"Un homme musclé et nu tombe et souffre, une femme avec un drap rouge, un arbre, des hommes qui parlent en arrière-plan, un ciel orange, Surprise",44
10788,Tableau,emotion,"Un homme dans la savane avec des arbres au dessus de lui et des herbes hautes, balade, Peur",28
7874,Dessin,colors,"Un ferme avec un toit en paille, une toilette extérieure en bois , un homme avec un chapeau assis sur le sol avec deux animaux, un cloture en bois, quelques arbres, Noir et blanc",53
10779,Dessin,luminosity,"Intérieur d'une chambre à coucher, plafond voûté, lit double, chaise, portes, armoire, bureau, Lumineux",37
8269,Tableau,emotion,"Jésus entouré d'hommes et de femmes qui le regardent et le touchent, lumière autour de sa tête, religion, Peur",37
8269,Tableau,emotion,"Jésus entouré d'hommes et de femmes qui le regardent et le touchent, lumière autour de sa tête, religion, Surprise",36
4596,Tableau,emotion,"Portrait d'une homme avec une barbe et une moustache, chapeau noir, baton en main, chaise, livre, tableau en fond, habit ample brun, émotion neutre",41
4596,Tableau,emotion,"Portrait d'une homme avec une barbe et une moustache, chapeau noir, baton en main, chaise, livre, tableau en fond, habit ample brun, Joie",39
7379,Dessin,luminosity,"Portrait d'un jeune homme avec des cheveux longs de côté, un manteau noir, Lumineux",25
4518,Tableau,colors,"Portrait d'un vieil homme assis avec des cheveux dégarnis et une moustache grise en costume avec un livre rouge dans sa main, intérieur, Couleurs sombres",43
10450,Tableau,colors,"Une femme assise dans un fauteuil confortable avec un chien sur les genoux, à côté d'elle il y a une table avec un verre dessus, la femme porte une blouse bleue, Couleurs vives",52
10791,Dessin,content,"Croquis d'une femme debout avec une longue jupe blanche, on ne voit pas son visage, elle travaille, nettoyage",34
8256,Tableau,content,"Un groupe de personnes chaudement habillés marchent avec dans la neige, des charettes tirées par des chevaux, habits noirs, convoi",38
4313,Tableau,colors,"Une table avec une des tomates rouges et un vase avec des fleurs colorées, un mur jaune, Couleurs vives",30
6693,Dessin,content,"Une personne devant une maison avec un sceptre, capuche, sorcier",18
7127,Dessin,colors,"Un chateau avec une haute tour au bord de l'eau, un pont, des barques sur l'eau, quelques nuages dans le ciel, Noir et blanc",36
2324,Tableau,emotion,"Portrait d'une femme avec un voile blanc et une robe noire, ton pale, bijoux rouge, ville en fond, émotion neutre",31
2324,Tableau,emotion,"Portrait d'une femme avec un voile blanc et une robe noire, ton pale, bijoux rouge, ville en fond, Tristesse",30
5179,Tableau,colors,"Portrait d'une fille debout avec un pot de fleurs dans les mains, cheveux coupe carré blonds, tableaux sur mur bleu, fenêtre, chaise, parquet, Couleurs vives",48
1942,Tableau,colors,"Portrait de famille avec deux couples, et quatres enfants, fermiers asssis dehors, paquerettes dans l'herbe, Teinte rouge",37
7743,Dessin,content,"Portrait d'une femme avec une hotte sur la tête, chapeau, colier",21
7127,Dessin,content,"Un chateau avec une haute tour au bord de l'eau, un pont, des barques sur l'eau, quelques nuages dans le ciel",32
1820,Tableau,colors,"Un femme avec un voile et un baton prie en regardant le ciel, deux moutons à ses pieds, drap bleu, ciel sombre, Couleurs vives, Teinte verte",46
6287,Tableau,luminosity,"Un homme avec un chapeau rouge qui marche sur un chemin à côté de la forêt, prairie, forêt dense, Sombre",33
4114,Tableau,emotion,"Paysage avec une plaine avec quelques fleurs, des collines en fond, une forêt dense et noire, Tristesse",30
